period,DMA,sales
2021-11-28,"JONESBORO, AR",9.0
2021-11-28,"ST JOSEPH, MO",3.0
2021-11-28,"ALEXANDRIA, LA",14.0
2021-11-28,"SAN ANGELO, TX",15.0
2021-11-28,"SHREVEPORT, LA",20.0
2021-11-28,"LITTLE ROCK, AR",13.0
2021-11-28,"PARKERSBERG, WV",9.0
2021-11-28,"SPRINGFIELD, MO",21.0
2021-11-28,"LAKE CHARLES, LA",18.0
2021-11-28,"OKLAHOMA CITY, OK",26.0
2021-11-28,"ODESSA-MIDLAND, TX",16.0
2021-11-28,"RALEIGH-DURHAM, NC",17.0
2021-11-28,"TYLER-LONGVIEW, TX",43.0
2021-11-28,"DALLAS, TX",31.0
2021-11-28,"WACO-TEMPLE, TX",18.0
2021-11-28,"ABILENE, TX",20.0
2021-11-28,"MONROE-ELDORADO, LA",8.0
2021-11-28,"CHARLESTON-HUNTINGTON, WV",25.0
2021-11-28,"GREENVILLE-NEW BERN, NC",34.0
2021-11-28,"BLUEFIELD-BECKLEY, WV",18.0
2021-11-28,"JOPLIN, MO - PITTSBURG, KS",2.0
2021-11-28,"WICHITA-HUTCHINSON, KS",0.0
2021-11-28,"CLARKSBURG-WESTON, WV",5.0
2021-11-28,"GREENWOOD-GREENVILLE, MS",5.0
2021-11-28,"COLUMBUS, OH",0.0
2021-11-28,"SPOKANE, WA",2.0
2021-11-28,"FT SMITH, AR",0.0
2021-11-28,"CLEVELAND, OH",1.0
2021-11-28,"LAS VEGAS, NV",0.0
2021-11-28,"RENO, NV",4.0
2021-11-28,"PALM SPRINGS, CA",1.0
2021-11-28,"SHERMAN-ADA, OK",0.0
2021-11-28,"LOS ANGELES, CA",1.0
2021-11-28,"MEMPHIS, TN",1.0
2021-11-28,"KANSAS CITY, MO",0.0
2021-11-28,"SACRAMENTO, CA",2.0
2021-11-28,"WICHITA FALLS, TX - LAWTON, OK",1.0
2021-11-28,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-11-28,"MONTEREY-SALINAS, CA",0.0
2021-11-28,"SAN ANTONIO, TX",0.0
2021-11-28,"LAFAYETTE, LA",1.0
2021-11-28,"FRESNO-VISALIA, CA",0.0
2021-11-28,"NEW YORK, NY",1024.0
2021-11-28,No DMA,0.0
2021-09-26,"TULSA, OK",8.0
2021-09-26,"AUSTIN, TX",14.0
2021-09-26,"EUREKA, CA",10.0
2021-09-26,"HOUSTON, TX",29.0
2021-09-26,"LUBBOCK, TX",26.0
2021-09-26,"PHOENIX, AZ",49.0
2021-09-26,"AMARILLO, TX",18.0
2021-09-26,"VICTORIA, TX",9.0
2021-09-26,"JONESBORO, AR",7.0
2021-09-26,"ST JOSEPH, MO",8.0
2021-09-26,"ALEXANDRIA, LA",21.0
