"brand","period","dma","sales"
"Suddenlink",2017-12-24,"ABILENE, TX",6
"Suddenlink",2017-12-31,"ABILENE, TX",8
"Suddenlink",2018-01-07,"ABILENE, TX",15
"Suddenlink",2018-01-14,"ABILENE, TX",15
"Suddenlink",2018-01-21,"ABILENE, TX",12
"Suddenlink",2018-01-28,"ABILENE, TX",13
"Suddenlink",2018-02-04,"ABILENE, TX",18
"Suddenlink",2018-02-11,"ABILENE, TX",16
"Suddenlink",2018-02-18,"ABILENE, TX",8
"Suddenlink",2018-02-25,"ABILENE, TX",9
"Suddenlink",2018-03-04,"ABILENE, TX",22
"Suddenlink",2018-03-11,"ABILENE, TX",17
"Suddenlink",2018-03-18,"ABILENE, TX",11
"Suddenlink",2018-03-25,"ABILENE, TX",13
"Suddenlink",2018-04-01,"ABILENE, TX",12
"Suddenlink",2018-04-08,"ABILENE, TX",16
"Suddenlink",2018-04-15,"ABILENE, TX",14
"Suddenlink",2018-04-22,"ABILENE, TX",11
"Suddenlink",2018-04-29,"ABILENE, TX",16
"Suddenlink",2018-05-06,"ABILENE, TX",27
"Suddenlink",2018-05-13,"ABILENE, TX",16
"Suddenlink",2018-05-20,"ABILENE, TX",10
"Suddenlink",2018-05-27,"ABILENE, TX",13
"Suddenlink",2018-06-03,"ABILENE, TX",18
"Suddenlink",2018-06-10,"ABILENE, TX",19
"Suddenlink",2018-06-17,"ABILENE, TX",13
"Suddenlink",2018-06-24,"ABILENE, TX",12
"Suddenlink",2018-07-01,"ABILENE, TX",16
"Suddenlink",2018-07-08,"ABILENE, TX",14
"Suddenlink",2018-07-15,"ABILENE, TX",13
"Suddenlink",2018-07-22,"ABILENE, TX",14
"Suddenlink",2018-07-29,"ABILENE, TX",14
"Suddenlink",2018-08-05,"ABILENE, TX",17
"Suddenlink",2018-08-12,"ABILENE, TX",15
"Suddenlink",2018-08-19,"ABILENE, TX",16
"Suddenlink",2018-08-26,"ABILENE, TX",16
"Suddenlink",2018-09-02,"ABILENE, TX",10
"Suddenlink",2018-09-09,"ABILENE, TX",20
"Suddenlink",2018-09-16,"ABILENE, TX",20
"Suddenlink",2018-09-23,"ABILENE, TX",13
"Suddenlink",2018-09-30,"ABILENE, TX",22
"Suddenlink",2018-10-07,"ABILENE, TX",9
"Suddenlink",2018-10-14,"ABILENE, TX",15
"Suddenlink",2018-10-21,"ABILENE, TX",12
"Suddenlink",2018-10-28,"ABILENE, TX",26
"Suddenlink",2018-11-04,"ABILENE, TX",21
"Suddenlink",2018-11-11,"ABILENE, TX",8
"Suddenlink",2018-11-18,"ABILENE, TX",13
"Suddenlink",2018-11-25,"ABILENE, TX",12
"Suddenlink",2018-12-02,"ABILENE, TX",16
"Suddenlink",2018-12-09,"ABILENE, TX",12
"Suddenlink",2018-12-16,"ABILENE, TX",13
"Suddenlink",2018-12-23,"ABILENE, TX",6
"Suddenlink",2018-12-30,"ABILENE, TX",15
"Suddenlink",2019-01-06,"ABILENE, TX",10
